Gene,RSP_Area,RMSD,Deviation_Score
Psmb3,1.7373304700190642,0.7436460610904894,2.265553852188905
Psmb4,1.8014857536102882,0.7572520882727304,2.224793162154296
Psmb5,1.8673075252792182,0.7709620261995812,2.2026018721648395
Psmb6,1.2719717956623073,0.6363027561674245,2.634655690481686
Psmb7,1.901405018563016,0.7779691607307336,2.1791604619471125
Psmb8,1.692777716528776,0.7340489644994616,2.293523266924019
Psmc2,1.917661522531978,0.781287796510472,2.177119089789823
Psmc3,1.772505459954768,0.7511364797547445,2.248305260389771
Psmc4,1.929360441491517,0.7836673417583974,2.1672040313145096
Psmc5,1.9241398188892462,0.7826063676921723,2.1708537044251806
Psmc6,1.9226132839409833,0.7822958619260991,2.179319350622155
Psmd14,1.9568653631456747,0.7892335465626774,2.1529794436708003
